epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,76.4153,1.01213,1.31561,1.04673,0.72927,0.83194,0.87206,0.39848,1.79511,1.83644,1.99809,0.00125442,0.00125442,0.00125442
102,77.1458,0.73455,0.75852,0.93353,0.82598,0.75,0.73996,0.40317,1.86277,2.03004,2.01475,0.00125029,0.00125029,0.00125029
103,77.8387,0.76328,0.9648,0.9668,0.82598,0.75,0.73996,0.40317,1.86277,2.03004,2.01475,0.00124617,0.00124617,0.00124617
104,78.5504,0.65605,0.8029,0.91967,0.53799,0.5,0.65021,0.23462,1.86243,2.1212,2.19047,0.00124204,0.00124204,0.00124204
105,79.2993,0.82756,0.84887,0.98861,0.53799,0.5,0.65021,0.23462,1.86243,2.1212,2.19047,0.00123791,0.00123791,0.00123791
106,80.0454,0.84655,0.95588,1.02733,0.61535,0.5,0.59403,0.17175,2.1548,1.84539,2.35134,0.00123379,0.00123379,0.00123379
107,80.7481,1.04078,1.06306,1.20966,0.61535,0.5,0.59403,0.17175,2.1548,1.84539,2.35134,0.00122966,0.00122966,0.00122966
108,81.4761,0.72506,0.92778,1.03196,0.89285,0.75,0.945,0.50866,1.66647,1.90988,2.08679,0.00122554,0.00122554,0.00122554
109,82.1855,0.72699,0.73031,0.98198,0.89285,0.75,0.945,0.50866,1.66647,1.90988,2.08679,0.00122141,0.00122141,0.00122141
110,82.9049,0.82999,0.80707,0.99782,0.69901,0.875,0.92,0.57292,1.46719,1.54435,1.80459,0.00121729,0.00121729,0.00121729
111,83.6311,0.83319,0.94733,1.0435,0.69901,0.875,0.92,0.57292,1.46719,1.54435,1.80459,0.00121316,0.00121316,0.00121316
112,84.384,0.83387,0.85508,1.09676,0.44691,1,0.70417,0.45227,1.20284,1.67482,1.61081,0.00120903,0.00120903,0.00120903
113,85.0958,0.79191,0.75235,1.0229,0.44691,1,0.70417,0.45227,1.20284,1.67482,1.61081,0.00120491,0.00120491,0.00120491
114,85.8076,0.68231,0.79405,0.98482,0.43945,0.875,0.67292,0.38801,1.48654,1.78167,1.83018,0.00120078,0.00120078,0.00120078
115,86.5105,0.73431,0.79015,0.9442,0.43945,0.875,0.67292,0.38801,1.48654,1.78167,1.83018,0.00119666,0.00119666,0.00119666
116,87.3115,0.87813,0.96918,1.07909,0.3595,0.625,0.57504,0.3234,1.86399,1.59327,2.03184,0.00119253,0.00119253,0.00119253
117,88.0329,0.77244,0.91109,1.02643,0.3595,0.625,0.57504,0.3234,1.86399,1.59327,2.03184,0.0011884,0.0011884,0.0011884
118,88.7487,0.65264,0.74377,0.95263,0.42521,0.75,0.76931,0.36589,1.58305,1.52255,1.93474,0.00118428,0.00118428,0.00118428
119,89.461,0.87616,0.94072,1.09476,0.42521,0.75,0.76931,0.36589,1.58305,1.52255,1.93474,0.00118015,0.00118015,0.00118015
